batch,context_len,kv_len,hit_rate,bench_miss_mask,synthetic_cache_pattern,flashinfer_ms,flashinfer_run_event_ms,flashinfer_plan_run_event_ms,flashinfer_plan_run_wall_ms,mac_ms,mac_event_ms,mac_wall_ms,mac_speedup_vs_flashinfer,tile_tokens,complete_rows,group_tail_rows,hit_tail_rows,fallback_reduce_groups,balanced_tile_tokens,non_hit_groups,full_fallback_groups,max_full_fallback_reduce_chunks,max_mixed_reduce_chunks,miss_head_count,miss_count_0_groups,miss_count_1_groups,miss_count_2_groups,miss_count_3_groups,miss_count_4_groups,mixed_miss1_groups,mixed_miss2_groups,mixed_miss3_groups,full_miss_groups,scheduled_head_slot_tokens,actual_head_tokens,active_miss_head_tokens,mixed_scheduled_head_slot_tokens,mixed_actual_head_tokens,mixed_active_miss_head_tokens,mixed_unused_head_slot_ratio,complete_group_rows,complete_head_rows,complete_mixed_z2_rows,complete_full_group_rows,complete_mixed_group_rows,complete_mac_hit_group_rows,estimated_materialized_partial_rect_states,estimated_active_partial_rect_states,estimated_inactive_partial_rect_states,estimated_inactive_partial_rect_state_ratio,estimated_partial_rect_states,estimated_partial_rect_bytes,estimated_phase4_rect_state_reads,estimated_phase4_rect_read_bytes,estimated_active_phase4_rect_state_reads,estimated_inactive_phase4_rect_state_reads,estimated_inactive_phase4_rect_read_ratio,miss_mask_hist,group_task_miss_mask_hist,phase_order,match_pct,prepare_pct,complete_pct,reduce_pct_detail,reduce_sync_wait_pct,reduce_compute_pct,tail_pct_detail,fallback_group_merge_pct,merge_write_pct,cache_subtract_pct
1,32768,32769,0.0,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.18903930128241578,0.18856479326883951,0.18903930128241578,0.31501024416331896,32,512,16,0,8,509,8,8,1,0,32,0,0,0,0,8,0,0,0,8,1040416,1040416,1040416,0,0,0,0.0,512,0,0,512,0,0,2048,2048,0,0.0,2048,1056768,32,16512,32,0,0.0,15:8,15:512,,,,,,,,,,,
1,32768,32769,0.1,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.18285689875483513,0.18239359855651854,0.18285689875483513,0.32566075909051473,32,888,16,0,8,88,8,7,2,6,29,0,1,0,0,7,1,0,0,7,1040416,943069,942877,130052,32705,32513,0.7485236525535583,888,0,2,518,0,0,3552,2080,1472,0.4144144144144144,3552,1832832,80,41280,65,15,0.1875,8:1;15:7,8:2;15:518,,,,,,,,,,,
1,32768,32769,0.2,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.18536423255379,0.18490613301595052,0.18536423255379,0.32125570091391104,32,808,16,0,8,223,8,6,2,3,26,0,2,0,0,6,2,0,0,6,1040416,845722,845338,260104,65410,65026,0.7485236525535583,808,0,2,516,0,0,3232,2072,1160,0.3589108910891089,3232,1667712,72,37152,60,12,0.16666666666666666,1:1;8:1;15:6,1:1;8:1;15:516,,,,,,,,,,,
1,32768,32769,0.3,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.1922433303358654,0.1918015956878662,0.1922433303358654,0.309760116771798,32,835,16,0,7,207,7,5,2,3,22,1,2,0,0,5,2,0,0,5,910620,715926,715286,260104,65410,65026,0.7485236525535583,831,4,4,515,0,0,3328,2074,1254,0.37680288461538464,3328,1717248,68,35088,56,12,0.17647058823529413,0:1;1:1;8:1;15:5,1:2;8:2;15:515,,,,,,,,,,,
1,32768,32769,0.4,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.19181181754296026,0.1913642724355062,0.19181181754296026,0.3104569740083908,32,862,16,0,6,191,6,4,2,3,19,2,1,1,0,4,1,1,0,4,780824,618579,617747,260104,97859,97539,0.6237697005271912,854,8,4,512,0,0,3424,2072,1352,0.39485981308411217,3424,1766784,64,33024,54,10,0.15625,0:2;3:1;8:1;15:4,3:2;8:2;15:512,,,,,,,,,,,
1,32768,32769,0.5,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.18750751623883843,0.18705652554829916,0.18750751623883843,0.31758362356837916,32,766,16,0,5,176,5,3,2,3,16,3,1,0,1,3,1,0,1,3,651028,521232,520208,260104,130308,130052,0.49901577830314636,754,12,2,384,0,0,3028,1556,1472,0.4861294583883752,3028,1562448,60,30960,52,8,0.13333333333333333,0:3;7:1;8:1;15:3,7:1;8:1;15:384,,,,,,,,,,,
1,32768,32769,0.6,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.1853878803861638,0.18490026791890463,0.1853878803861638,0.3212147219623824,32,691,16,0,4,112,4,3,2,5,13,4,1,0,0,3,1,0,0,3,521232,423885,422669,130052,32705,32513,0.7485236525535583,675,16,2,384,0,0,2716,1560,1156,0.4256259204712813,2716,1401456,60,30960,48,12,0.2,0:4;8:1;15:3,8:2;15:384,,,,,,,,,,,
1,32768,32769,0.7,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.18312491786976656,0.18270187377929686,0.18312491786976656,0.32518412647582373,32,680,16,0,4,160,4,2,2,4,10,4,2,0,0,2,2,0,0,2,521232,326538,325130,260104,65410,65026,0.7485236525535583,664,16,4,256,0,0,2672,1056,1616,0.6047904191616766,2672,1378752,64,33024,46,18,0.28125,0:4;1:1;8:1;15:2,1:2;8:2;15:256,,,,,,,,,,,
1,32768,32769,0.8,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.16957321592296162,0.16911840438842773,0.16957321592296162,0.3511717114599673,32,600,16,0,3,144,3,1,2,4,6,5,2,0,0,1,2,0,0,1,391436,196742,195078,260104,65410,65026,0.7485236525535583,580,20,2,128,0,0,2340,540,1800,0.7692307692307693,2340,1207440,60,30960,42,18,0.3,0:5;1:1;8:1;15:1,1:1;8:1;15:128,,,,,,,,,,,
1,32768,32769,0.875,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.15516130176062384,0.15471893946329754,0.15516130176062384,0.38378974510865554,32,534,16,0,2,128,2,0,0,8,4,6,1,0,1,0,1,0,1,0,261640,131844,130052,260104,130308,130052,0.49901577830314636,510,24,257,0,0,0,2064,799,1265,0.6128875968992248,2064,1065024,88,45408,60,28,0.3181818181818182,0:6;7:1;8:1,7:255;8:2,,,,,,,,,,,
1,32768,32769,0.9,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.14614153187721968,0.14569279352823894,0.14614153187721968,0.40747702373523204,32,534,16,0,2,128,2,0,0,8,3,6,1,1,0,0,1,1,0,0,261640,99395,97539,260104,97859,97539,0.6237697005271912,510,24,4,0,0,0,2064,40,2024,0.9806201550387597,2064,1065024,88,45408,53,35,0.3977272727272727,0:6;3:1;8:1,3:2;8:2,,,,,,,,,,,
1,32768,32769,0.95,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.1460682018660009,0.14545547167460124,0.1460682018660009,0.407681587728902,32,534,16,0,2,128,2,0,0,8,2,6,2,0,0,0,2,0,0,0,261640,66946,65026,260104,65410,65026,0.7485236525535583,510,24,4,0,0,0,2064,40,2024,0.9806201550387597,2064,1065024,88,45408,46,42,0.4772727272727273,0:6;1:1;8:1,1:2;8:2,,,,,,,,,,,
1,32768,32769,0.96875,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.12008370055506627,0.11959093411763509,0.12008370055506627,0.495898412342229,32,529,16,0,1,65,1,0,0,16,1,7,1,0,0,0,1,0,0,0,131844,34497,32513,130052,32705,32513,0.7485236525535583,501,28,2,0,0,0,2032,36,1996,0.9822834645669292,2032,1048512,92,47472,47,45,0.4891304347826087,0:7;8:1,8:2,,,,,,,,,,,
