context_len,hit_rate,flashinfer_plan_run_wall_ms_current,flashinfer_run_event_ms_current,current_mac_ms,current_speedup_vs_flashinfer,previous_best_mac_ms,current_vs_previous_delta_pct,previous_best_flashinfer_ms,previous_best_speedup_vs_flashinfer,current_complete_rows,current_fallback_reduce_groups,current_full_fallback_groups,current_miss_head_count,current_phase_order
65536,0.0,0.277181,0.160246,0.294860,0.940044,0.296984,-0.715,0.276570,0.931261,1120,8,8,32,
65536,0.1,0.277181,0.160246,0.315469,0.878631,0.318596,-0.982,0.276570,0.868088,1023,8,7,29,
65536,0.2,0.277181,0.160246,0.331575,0.835953,0.316941,4.617,0.276570,0.872621,1706,8,6,26,
65536,0.3,0.277181,0.160246,0.311355,0.890241,0.308077,1.064,0.276570,0.897729,1527,7,5,22,
65536,0.4,0.277181,0.160246,0.299427,0.925704,0.296935,0.839,0.276570,0.931413,1586,6,4,19,
65536,0.5,0.277181,0.160246,0.286097,0.968836,0.283454,0.932,0.276570,0.975712,1522,5,3,16,
65536,0.6,0.277181,0.160246,0.277506,0.998830,0.273899,1.317,0.276570,1.009749,1367,4,3,13,
65536,0.7,0.277181,0.160246,0.278569,0.995017,0.274332,1.545,0.276570,1.008157,1346,4,2,10,
65536,0.8,0.277181,0.160246,0.251877,1.100461,0.247562,1.743,0.276570,1.117174,1184,3,1,6,
65536,0.875,0.277181,0.160246,0.223424,1.240604,0.217290,2.823,0.276570,1.272810,1046,2,0,4,
65536,0.9,0.277181,0.160246,0.214829,1.290242,0.215119,-0.135,0.276570,1.285656,1046,2,0,3,
65536,0.95,0.277181,0.160246,0.214658,1.291269,0.214637,0.010,0.276570,1.288546,1046,2,0,2,
65536,0.96875,0.277181,0.160246,0.200535,1.382205,0.195122,2.774,0.276570,1.417416,1033,1,0,1,
65536,1.0,0.277181,0.160246,0.097453,2.844259,0.097774,-0.328,0.276570,2.828663,64,0,0,0,
73728,0.0,0.304283,0.178893,0.321117,0.947579,0.321728,-0.190,0.292655,0.909633,1120,8,8,32,
73728,0.1,0.304283,0.178893,0.341532,0.890936,0.343937,-0.699,0.292655,0.850896,1026,8,7,29,
73728,0.2,0.304283,0.178893,0.343906,0.884787,0.343131,0.226,0.292655,0.852895,1706,8,6,26,
73728,0.3,0.304283,0.178893,0.329808,0.922606,0.331193,-0.418,0.292655,0.883638,1527,7,5,22,
73728,0.4,0.304283,0.178893,0.308264,0.987087,0.308651,-0.125,0.292655,0.948174,1586,6,4,19,
73728,0.5,0.304283,0.178893,0.293198,1.037810,0.291855,0.460,0.292655,1.002741,1620,5,3,16,
73728,0.6,0.304283,0.178893,0.282372,1.077599,0.285195,-0.990,0.292655,1.026155,1464,4,3,13,
73728,0.7,0.304283,0.178893,0.283984,1.071479,0.283430,0.196,0.292655,1.032546,1410,4,2,10,
73728,0.8,0.304283,0.178893,0.258916,1.175219,0.257950,0.374,0.292655,1.134538,1216,3,1,6,
73728,0.875,0.304283,0.178893,0.228294,1.332857,0.223270,2.250,0.292655,1.310766,1046,2,0,4,
73728,0.9,0.304283,0.178893,0.218796,1.390714,0.220346,-0.703,0.292655,1.328162,1046,2,0,3,
73728,0.95,0.304283,0.178893,0.222314,1.368707,0.223325,-0.453,0.292655,1.310442,1046,2,0,2,
73728,0.96875,0.304283,0.178893,0.200442,1.518062,0.200352,0.045,0.292655,1.460706,1035,1,0,1,
73728,1.0,0.304283,0.178893,0.097970,3.105889,0.097968,0.002,0.292655,2.987254,64,0,0,0,
98304,0.0,0.355231,0.231871,0.408445,0.869715,0.421692,-3.141,0.351869,0.834422,1120,8,8,32,
98304,0.1,0.355231,0.231871,0.419798,0.846195,0.413562,1.508,0.351869,0.850826,1025,8,7,29,
98304,0.2,0.355231,0.231871,0.417281,0.851299,0.397383,5.007,0.351869,0.885468,1706,8,6,26,
98304,0.3,0.355231,0.231871,0.372640,0.953280,0.369680,0.801,0.351869,0.951821,1529,7,5,22,
98304,0.4,0.355231,0.231871,0.344693,1.030572,0.342654,0.595,0.351869,1.026893,1586,6,4,19,
98304,0.5,0.355231,0.231871,0.326703,1.087319,0.327808,-0.337,0.351869,1.073403,1653,5,3,16,
98304,0.6,0.355231,0.231871,0.304797,1.165466,0.305491,-0.227,0.351869,1.151817,1497,4,3,13,
98304,0.7,0.355231,0.231871,0.298978,1.188150,0.299955,-0.326,0.351869,1.173072,1602,4,2,10,
98304,0.8,0.355231,0.231871,0.278870,1.273820,0.279614,-0.266,0.351869,1.258410,1312,3,1,6,
98304,0.875,0.355231,0.231871,0.245131,1.449146,0.246124,-0.403,0.351869,1.429645,1046,2,0,4,
98304,0.9,0.355231,0.231871,0.240994,1.474025,0.240486,0.211,0.351869,1.463160,1046,2,0,3,
98304,0.95,0.355231,0.231871,0.239193,1.485121,0.238105,0.457,0.351869,1.477791,1046,2,0,2,
98304,0.96875,0.355231,0.231871,0.210459,1.687884,0.210555,-0.046,0.351869,1.671151,1039,1,0,1,
98304,1.0,0.355231,0.231871,0.097254,3.652602,0.097496,-0.248,0.351869,3.609055,64,0,0,0,
126976,0.0,0.418865,0.297204,0.505262,0.829005,0.502398,0.570,0.427183,0.850288,1120,8,8,32,
126976,0.1,0.418865,0.297204,0.500619,0.836695,0.490159,2.134,0.427183,0.871519,1025,8,7,29,
126976,0.2,0.418865,0.297204,0.476013,0.879945,0.477003,-0.208,0.427183,0.895555,1706,8,6,26,
126976,0.3,0.418865,0.297204,0.443312,0.944854,0.440021,0.748,0.427183,0.970824,1529,7,5,22,
126976,0.4,0.418865,0.297204,0.399003,1.049780,0.399907,-0.226,0.427183,1.068206,1586,6,4,19,
126976,0.5,0.418865,0.297204,0.374123,1.119593,0.377117,-0.794,0.427183,1.132760,1653,5,3,16,
126976,0.6,0.418865,0.297204,0.340335,1.230744,0.344738,-1.277,0.427183,1.239152,1497,4,3,13,
126976,0.7,0.418865,0.297204,0.363420,1.152564,0.364104,-0.188,0.427183,1.173244,1730,4,2,10,
126976,0.8,0.418865,0.297204,0.323943,1.293020,0.320589,1.046,0.427183,1.332494,1426,3,1,6,
