batch,context_len,kv_len,hit_rate,bench_miss_mask,synthetic_cache_pattern,flashinfer_ms,flashinfer_run_event_ms,flashinfer_plan_run_event_ms,flashinfer_plan_run_wall_ms,mac_ms,mac_event_ms,mac_wall_ms,mac_speedup_vs_flashinfer,tile_tokens,complete_rows,group_tail_rows,hit_tail_rows,fallback_reduce_groups,balanced_tile_tokens,non_hit_groups,full_fallback_groups,max_full_fallback_reduce_chunks,max_mixed_reduce_chunks,miss_head_count,miss_count_0_groups,miss_count_1_groups,miss_count_2_groups,miss_count_3_groups,miss_count_4_groups,mixed_miss1_groups,mixed_miss2_groups,mixed_miss3_groups,full_miss_groups,scheduled_head_slot_tokens,actual_head_tokens,active_miss_head_tokens,mixed_scheduled_head_slot_tokens,mixed_actual_head_tokens,mixed_active_miss_head_tokens,mixed_unused_head_slot_ratio,complete_group_rows,complete_head_rows,complete_mixed_z2_rows,complete_full_group_rows,complete_mixed_group_rows,complete_mac_hit_group_rows,estimated_materialized_partial_rect_states,estimated_active_partial_rect_states,estimated_inactive_partial_rect_states,estimated_inactive_partial_rect_state_ratio,estimated_partial_rect_states,estimated_partial_rect_bytes,estimated_phase4_rect_state_reads,estimated_phase4_rect_read_bytes,estimated_active_phase4_rect_state_reads,estimated_inactive_phase4_rect_state_reads,estimated_inactive_phase4_rect_read_ratio,miss_mask_hist,group_task_miss_mask_hist,phase_order,match_pct,prepare_pct,complete_pct,reduce_pct_detail,reduce_sync_wait_pct,reduce_compute_pct,tail_pct_detail,fallback_group_merge_pct,merge_write_pct,cache_subtract_pct
1,65536,65537,0.0,,faithful,0.2631521667353809,0.16155200004577636,0.2627648035685221,0.2631521667353809,0.26860313325111446,0.26810080210367837,0.26860313325111446,0.9797062437442324,32,512,64,0,8,1021,8,8,1,0,32,0,0,0,0,8,0,0,0,8,2088992,2088992,2088992,0,0,0,0.0,512,0,0,512,0,0,2048,2048,0,0.0,2048,532480,32,8320,32,0,0.0,15:8,15:512,,,,,,,,,,,
1,65536,65537,0.5,,faithful,0.2631521667353809,0.16155200004577636,0.2627648035685221,0.2631521667353809,0.24340244999621063,0.2429807980855306,0.24340244999621063,1.0811401723338352,32,1023,64,0,5,352,5,3,4,3,16,3,1,0,1,3,1,0,1,3,1306388,1045520,1044496,522248,261380,261124,0.4995098114013672,1011,12,2,639,0,0,4056,2576,1480,0.36489151873767256,4056,1054560,84,21840,76,8,0.09523809523809523,0:3;7:1;8:1;15:3,7:1;8:1;15:639,,,,,,,,,,,
1,65536,65537,0.6,,faithful,0.2631521667353809,0.16155200004577636,0.2627648035685221,0.2631521667353809,0.2268859165875862,0.22649386723836262,0.2268859165875862,1.159843549098362,32,947,64,0,4,224,4,3,4,5,13,4,1,0,0,3,1,0,0,3,1045520,849869,848653,261124,65473,65281,0.7492647171020508,931,16,1,639,0,0,3740,2576,1164,0.31122994652406416,3740,972400,84,21840,72,12,0.14285714285714285,0:4;8:1;15:3,8:1;15:639,,,,,,,,,,,
1,65536,65537,0.8,,faithful,0.2631521667353809,0.16155200004577636,0.2627648035685221,0.2631521667353809,0.2385873335394232,0.23817119598388672,0.2385873335394232,1.1029595026338592,32,730,64,0,3,288,3,1,4,4,6,5,2,0,0,1,2,0,0,1,784652,393350,391686,522248,130946,130562,0.7492647171020508,710,20,2,256,0,0,2860,1052,1808,0.6321678321678321,2860,743600,68,17680,50,18,0.2647058823529412,0:5;1:1;8:1;15:1,1:1;8:1;15:256,,,,,,,,,,,
1,65536,65537,0.875,,faithful,0.2631521667353809,0.16155200004577636,0.2627648035685221,0.2631521667353809,0.19049316664071134,0.19009067217508951,0.19049316664071134,1.3814257559784888,32,536,64,0,2,256,2,0,0,8,4,6,1,0,1,0,1,0,1,0,523784,262916,261124,522248,261380,261124,0.4995098114013672,512,24,256,0,0,0,2072,794,1278,0.6167953667953668,2072,538720,88,22880,60,28,0.3181818181818182,0:6;7:1;8:1,7:256,,,,,,,,,,,
1,65536,65537,0.96875,,faithful,0.2631521667353809,0.16155200004577636,0.2627648035685221,0.2631521667353809,0.17420978329028003,0.17380372683207193,0.17420978329028003,1.5105475809983593,32,535,64,0,1,129,1,0,0,16,1,7,1,0,0,0,1,0,0,0,262916,67265,65281,261124,65473,65281,0.7492647171020508,507,28,0,0,0,0,2056,28,2028,0.9863813229571985,2056,534560,92,23920,47,45,0.4891304347826087,0:7;8:1,,,,,,,,,,,,
1,65536,65537,1.0,,faithful,0.2631521667353809,0.16155200004577636,0.2627648035685221,0.2631521667353809,0.08219626688514836,0.08178933461507161,0.08219626688514836,3.20150995547133,32,64,64,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2048,2048,0,0,0,0,0.0,0,64,0,0,0,0,64,64,0,0.0,64,16640,64,16640,64,0,0.0,0:8,,,,,,,,,,,,
1,73728,73729,0.0,,faithful,0.27972188327112235,0.17955519358317057,0.27933387756347655,0.27972188327112235,0.29054281646191765,0.2901359875996908,0.29054281646191765,0.9627561496010567,32,512,64,0,8,1149,8,8,1,0,32,0,0,0,0,8,0,0,0,8,2351136,2351136,2351136,0,0,0,0.0,512,0,0,512,0,0,2048,2048,0,0.0,2048,532480,32,8320,32,0,0.0,15:8,15:512,,,,,,,,,,,
1,73728,73729,0.5,,faithful,0.27972188327112235,0.17955519358317057,0.27933387756347655,0.27972188327112235,0.25913536665029824,0.2587301254272461,0.25913536665029824,1.0794430991297514,32,1023,64,0,5,396,5,3,4,3,16,3,1,0,1,3,1,0,1,3,1470228,1176592,1175568,587784,294148,293892,0.4995644688606262,1011,12,2,639,0,0,4056,2576,1480,0.36489151873767256,4056,1054560,84,21840,76,8,0.09523809523809523,0:3;7:1;8:1;15:3,7:1;8:1;15:639,,,,,,,,,,,
1,73728,73729,0.6,,faithful,0.27972188327112235,0.17955519358317057,0.27933387756347655,0.27972188327112235,0.23218538335640915,0.2317098617553711,0.23218538335640915,1.2047351096246388,32,947,64,0,4,252,4,3,4,5,13,4,1,0,0,3,1,0,0,3,1176592,956365,955149,293892,73665,73473,0.7493466734886169,931,16,1,639,0,0,3740,2576,1164,0.31122994652406416,3740,972400,84,21840,72,12,0.14285714285714285,0:4;8:1;15:3,8:1;15:639,,,,,,,,,,,
