batch,context_len,kv_len,hit_rate,bench_miss_mask,synthetic_cache_pattern,flashinfer_ms,flashinfer_run_event_ms,flashinfer_plan_run_event_ms,flashinfer_plan_run_wall_ms,mac_ms,mac_event_ms,mac_wall_ms,mac_speedup_vs_flashinfer,tile_tokens,complete_rows,group_tail_rows,hit_tail_rows,fallback_reduce_groups,balanced_tile_tokens,non_hit_groups,full_fallback_groups,max_full_fallback_reduce_chunks,max_mixed_reduce_chunks,miss_head_count,miss_count_0_groups,miss_count_1_groups,miss_count_2_groups,miss_count_3_groups,miss_count_4_groups,mixed_miss1_groups,mixed_miss2_groups,mixed_miss3_groups,full_miss_groups,scheduled_head_slot_tokens,actual_head_tokens,active_miss_head_tokens,mixed_scheduled_head_slot_tokens,mixed_actual_head_tokens,mixed_active_miss_head_tokens,mixed_unused_head_slot_ratio,complete_group_rows,complete_head_rows,complete_mixed_z2_rows,complete_full_group_rows,complete_mixed_group_rows,complete_mac_hit_group_rows,estimated_materialized_partial_rect_states,estimated_active_partial_rect_states,estimated_inactive_partial_rect_states,estimated_inactive_partial_rect_state_ratio,estimated_partial_rect_states,estimated_partial_rect_bytes,estimated_phase4_rect_state_reads,estimated_phase4_rect_read_bytes,estimated_active_phase4_rect_state_reads,estimated_inactive_phase4_rect_state_reads,estimated_inactive_phase4_rect_read_ratio,miss_mask_hist,group_task_miss_mask_hist,phase_order,match_pct,prepare_pct,complete_pct,reduce_pct_detail,reduce_sync_wait_pct,reduce_compute_pct,tail_pct_detail,fallback_group_merge_pct,merge_write_pct,cache_subtract_pct
1,65536,65537,0.0,,faithful,0.2780262662175422,0.16029653549194336,0.27761386235555013,0.2780262662175422,0.2969611339115848,0.2964943885803223,0.2969611339115848,0.9362378926675294,32,1120,64,0,8,467,8,8,3,0,32,0,0,0,0,8,0,0,0,8,2088992,2088992,2088992,0,0,0,0.0,1120,0,0,1120,0,0,4480,4480,0,0.0,4480,2311680,96,49536,96,0,0.0,15:8,15:1120,,,,,,,,,,,
1,65536,65537,0.1,,faithful,0.2780262662175422,0.16029653549194336,0.27761386235555013,0.2780262662175422,0.31232685044718284,0.31173760096232095,0.31232685044718284,0.8901772800496345,32,1023,64,0,8,141,8,7,2,8,29,0,1,0,0,7,1,0,0,7,2088992,1893341,1893149,261124,65473,65281,0.7492647171020508,1023,0,1,560,0,0,4092,2244,1848,0.45161290322580644,4092,2111472,88,45408,67,21,0.23863636363636365,8:1;15:7,8:1;15:560,,,,,,,,,,,
1,65536,65537,0.2,,faithful,0.2780262662175422,0.16029653549194336,0.27761386235555013,0.2780262662175422,0.3155298492250343,0.31512425740559896,0.3155298492250343,0.8811409345277355,32,1706,64,0,8,224,8,6,3,5,26,0,2,0,0,6,2,0,0,6,2088992,1697690,1697306,522248,130946,130562,0.7492647171020508,1706,0,2,1122,0,0,6824,4496,2328,0.34114888628370454,6824,3521184,112,57792,88,24,0.21428571428571427,1:1;8:1;15:6,1:1;8:1;15:1122,,,,,,,,,,,
1,65536,65537,0.3,,faithful,0.2780262662175422,0.16029653549194336,0.27761386235555013,0.2780262662175422,0.30674990072535974,0.3063568115234375,0.30674990072535974,0.9063613893928054,32,1527,64,0,7,208,7,5,3,5,22,1,2,0,0,5,2,0,0,5,1828124,1436822,1436182,522248,130946,130562,0.7492647171020508,1523,4,2,895,0,0,6096,3592,2504,0.410761154855643,6096,3145536,104,53664,80,24,0.23076923076923078,0:1;1:1;8:1;15:5,1:1;8:1;15:895,,,,,,,,,,,
1,65536,65537,0.4,,faithful,0.2780262662175422,0.16029653549194336,0.27761386235555013,0.2780262662175422,0.2977719501359388,0.29735145568847654,0.2977719501359388,0.9336885696944176,32,1586,64,0,6,192,6,4,4,6,19,2,1,1,0,4,1,1,0,4,1567256,1241171,1240339,522248,196163,195843,0.624387264251709,1578,8,4,896,0,0,6320,3608,2712,0.4291139240506329,6320,3261120,120,61920,95,25,0.20833333333333334,0:2;3:1;8:1;15:4,3:2;8:2;15:896,,,,,,,,,,,
1,65536,65537,0.5,,faithful,0.2780262662175422,0.16029653549194336,0.27761386235555013,0.2780262662175422,0.284804049685287,0.28438558578491213,0.284804049685287,0.9762019413865977,32,1522,64,0,5,176,5,3,4,6,16,3,1,0,1,3,1,0,1,3,1306388,1045520,1044496,522248,261380,261124,0.4995098114013672,1510,12,2,768,0,0,6052,3092,2960,0.48909451421017847,6052,3122832,108,55728,88,20,0.18518518518518517,0:3;7:1;8:1;15:3,7:1;8:1;15:768,,,,,,,,,,,
1,65536,65537,0.6,,faithful,0.2780262662175422,0.16029653549194336,0.27761386235555013,0.2780262662175422,0.2756866005559762,0.2752863883972168,0.2756866005559762,1.0084866861749813,32,1367,64,0,4,112,4,3,4,10,13,4,1,0,0,3,1,0,0,3,1045520,849869,848653,261124,65473,65281,0.7492647171020508,1351,16,1,768,0,0,5420,3092,2328,0.42952029520295204,5420,2796720,104,53664,77,27,0.25961538461538464,0:4;8:1;15:3,8:1;15:768,,,,,,,,,,,
1,65536,65537,0.7,,faithful,0.2780262662175422,0.16029653549194336,0.27761386235555013,0.2780262662175422,0.2767449332168326,0.2762997309366862,0.2767449332168326,1.0046300143089002,32,1346,64,0,4,160,4,2,4,7,10,4,2,0,0,2,2,0,0,2,1045520,654218,652810,522248,130946,130562,0.7492647171020508,1330,16,4,512,0,0,5336,2080,3256,0.6101949025487257,5336,2753376,104,53664,68,36,0.34615384615384615,0:4;1:1;8:1;15:2,1:2;8:2;15:512,,,,,,,,,,,
1,65536,65537,0.8,,faithful,0.2780262662175422,0.16029653549194336,0.27761386235555013,0.2780262662175422,0.24896744968524823,0.24856425921122233,0.24896744968524823,1.1167173322015826,32,1184,64,0,3,144,3,1,4,8,6,5,2,0,0,1,2,0,0,1,784652,393350,391686,522248,130946,130562,0.7492647171020508,1164,20,4,256,0,0,4676,1060,3616,0.7733105218135158,4676,2412816,100,51600,58,42,0.42,0:5;1:1;8:1;15:1,1:2;8:2;15:256,,,,,,,,,,,
1,65536,65537,0.875,,faithful,0.2780262662175422,0.16029653549194336,0.27761386235555013,0.2780262662175422,0.22303546720650047,0.22260160446166993,0.22303546720650047,1.2465562975243203,32,1046,64,0,2,128,2,0,0,16,4,6,1,0,1,0,1,0,1,0,523784,262916,261124,522248,261380,261124,0.4995098114013672,1022,24,1022,0,0,0,4112,2076,2036,0.49513618677042803,4112,2121792,152,78432,92,60,0.39473684210526316,0:6;7:1;8:1,7:511;8:511,,,,,,,,,,,
